sample_id,source,geo_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,required_support_pressure_MPa,required_case_id,label_status
stage4_g012,stage4,g012,1036.85,1.19634,5.69553,22.8445,0.993849,0.842871,30.6446,1.21367,1.4,s4_g012_p04,labeled
stage4_g013,stage4,g013,955.591,1.30944,4.52472,20.8942,1.27424,0.762135,27.0355,1.24196,1.4,s4_g013_p04,labeled
stage4_g014,stage4,g014,1149.58,1.41306,4.48758,25.5499,1.38293,1.20913,29.7419,0.611285,1.1,s4_g014_p03,labeled
stage4_g015,stage4,g015,898.026,1.21771,3.3696,19.5126,1.03895,1.25957,36.269,1.16866,0.5,s4_g015_p01,labeled
stage4_g016,stage4,g016,1065.39,0.917299,3.3313,23.5295,0.816369,1.3446,28.2978,0.905216,1.1,s4_g016_p03,labeled
stage4_g017,stage4,g017,1093.99,1.25722,4.42995,24.2157,0.623995,0.787294,26.2313,0.684096,2.6,s4_g017_p08,labeled
stage4_g018,stage4,g018,834.552,1.09606,5.18972,17.9892,1.08293,0.759423,30.1136,0.872876,0.5,s4_g018_p01,labeled
stage4_g019,stage4,g019,928.057,1.22248,4.90666,20.2334,0.751242,1.17209,29.1199,0.790379,0.5,s4_g019_p01,labeled
stage4_g020,stage4,g020,1013.65,1.26932,5.91258,22.2877,0.771303,1.36146,33.6187,1.0273,0.5,s4_g020_p01,labeled
stage4_g021,stage4,g021,876.315,1.13562,4.31694,18.9916,1.34044,0.952485,39.9231,1.08936,0.5,s4_g021_p01,labeled
stage4_g022,stage4,g022,1127.64,1.11145,4.68562,25.0233,1.02574,1.24081,32.6743,0.65988,1.1,s4_g022_p03,labeled
stage4_g023,stage4,g023,1054.03,0.875981,5.985,23.2566,1.31965,0.806865,27.9958,0.931439,>2.6,s4_g023_p08,exceedance_gt_2.6MPa_uncontrolled
stage4_g024,stage4,g024,1169,0.843187,4.82243,26.016,0.938867,1.29619,36.8447,0.579156,2,s4_g024_p06,labeled
stage4_g025,stage4,g025,1137.86,1.32635,3.67729,25.2686,0.851326,1.39691,31.9821,1.04725,0.5,s4_g025_p01,labeled
stage4_g026,stage4,g026,823.548,1.09379,3.00908,17.7251,1.22655,0.726546,35.5827,0.78151,0.5,s4_g026_p01,labeled
stage4_g027,stage4,g027,1046.41,1.36428,5.70848,23.0739,1.29883,1.0681,34.0504,0.544033,0.5,s4_g027_p01,labeled
stage4_g028,stage4,g028,1194.55,1.00934,3.23688,26.6293,0.666844,0.823795,25.2885,1.06803,>2.6,s4_g028_p08,exceedance_gt_2.6MPa_uncontrolled
stage4_g029,stage4,g029,842.736,1.04675,3.95551,18.1857,1.10854,1.14803,26.16,1.04109,0.5,s4_g029_p01,labeled
stage4_g030,stage4,g030,1161.27,1.37476,5.56113,25.8306,1.35764,0.633404,30.7776,0.507051,2.6,s4_g030_p08,labeled
stage4_g031,stage4,g031,854.348,0.991334,4.60293,18.4644,0.956528,0.976619,37.2483,0.855983,0.5,s4_g031_p01,labeled
stage4_g032,stage4,g032,1129.88,1.17926,4.93466,25.0772,1.25585,1.31716,29.8696,0.66853,1.1,s4_g032_p03,labeled
stage4_g033,stage4,g033,973.782,0.932934,3.7478,21.3308,1.00823,1.12393,36.5289,1.28649,0.5,s4_g033_p01,labeled
stage4_g034,stage4,g034,925.485,0.858865,4.62108,20.1716,0.803205,1.09768,35.3918,0.525257,0.8,s4_g034_p02,labeled
stage4_g035,stage4,g035,1096.46,1.24466,5.36788,24.2749,0.876357,0.73618,27.1867,0.759728,>2.6,s4_g035_p08,exceedance_gt_2.6MPa_uncontrolled
stage4_g036,stage4,g036,1156.08,0.945317,4.78099,25.7059,0.684804,0.945394,31.7681,0.829857,2.6,s4_g036_p08,labeled
stage4_g037,stage4,g037,946.493,0.969357,5.44079,20.6758,0.871811,0.999367,28.8578,1.09329,1.1,s4_g037_p03,labeled
stage4_g038,stage4,g038,886.392,1.43347,5.14816,19.2334,1.13081,1.03292,31.3525,1.26373,0.5,s4_g038_p01,labeled
stage4_g039,stage4,g039,811.482,1.15867,4.23529,17.4356,1.26735,1.00167,34.847,0.747452,0.5,s4_g039_p01,labeled
stage4_g040,stage4,g040,964.722,1.46445,3.50103,21.1133,0.61137,1.08157,38.4219,1.13622,0.5,s4_g040_p01,labeled
stage4_g041,stage4,g041,977.643,0.832565,3.58485,21.4234,1.33572,0.619595,38.071,0.967819,2.3,s4_g041_p07,labeled
stage4_g042,stage4,g042,936.017,0.908181,3.63352,20.4244,0.710244,1.32037,34.3538,0.588617,0.5,s4_g042_p01,labeled
stage4_g043,stage4,g043,868.016,0.806273,5.00668,18.7924,1.07119,1.23119,37.4164,0.615085,0.5,s4_g043_p01,labeled
stage4_g044,stage4,g044,1072.68,1.28628,3.8411,23.7042,0.932864,0.660416,28.3706,1.17426,2.3,s4_g044_p07,labeled
stage4_g045,stage4,g045,801.657,1.33781,3.15521,17.1998,1.21503,0.878855,32.3809,0.629643,0.5,s4_g045_p01,labeled
stage4_g046,stage4,g046,891.461,0.814784,5.80793,19.3551,0.736476,1.37641,35.0947,1.15539,0.5,s4_g046_p01,labeled
stage4_g047,stage4,g047,996.482,1.49849,5.61786,21.8756,0.637233,0.91466,38.9717,1.19953,0.5,s4_g047_p01,labeled
stage4_g048,stage4,g048,1020.25,1.0317,5.25358,22.446,0.909556,0.931438,37.8115,0.95935,1.1,s4_g048_p03,labeled
stage4_g049,stage4,g049,1182.05,1.4472,4.33495,26.3292,0.899309,1.2832,35.9025,0.719053,0.8,s4_g049_p02,labeled
stage4_g050,stage4,g050,909.438,1.29968,4.17995,19.7865,1.17014,0.601137,26.7525,1.23161,1.7,s4_g050_p05,labeled
stage5_boundary_g001,stage5_boundary,g001,1083.44,0.922112,4.88594,23.9624,0.748012,0.804211,25.1478,1.00913,>2.6,s5b_g001_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g002,stage5_boundary,g002,1144.1,0.822449,4.608,25.4183,1.21321,0.707998,28.0181,0.845484,>2.6,s5b_g002_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g003,stage5_boundary,g003,1170.95,0.853216,5.7578,26.0628,0.840543,0.767229,25.8236,0.936332,>2.6,s5b_g003_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g004,stage5_boundary,g004,1194.44,1.21635,5.98361,26.6266,0.773297,0.749579,26.579,0.819417,>2.6,s5b_g004_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g005,stage5_boundary,g005,1180.14,1.04262,4.96858,26.2832,0.692636,0.636695,28.5474,0.976282,>2.6,s5b_g005_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g006,stage5_boundary,g006,1188.84,1.34399,5.15549,26.4921,1.13732,0.822998,25.3968,0.605499,>2.6,s5b_g006_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g007,stage5_boundary,g007,1088.23,1.06696,5.58592,24.0775,0.715047,0.854715,30.6944,0.758644,2,s5b_g007_p06,labeled
stage5_boundary_g008,stage5_boundary,g008,1064.51,1.01993,5.39707,23.5081,1.15703,0.713533,29.3537,1.08536,2.3,s5b_g008_p07,labeled
stage5_boundary_g009,stage5_boundary,g009,1041.09,0.996084,4.77767,22.9462,1.01724,0.6724,27.5226,0.54396,2.3,s5b_g009_p07,labeled
stage5_boundary_g010,stage5_boundary,g010,1077.96,0.967619,5.50791,23.831,1.09432,0.872214,29.4971,0.822088,2.3,s5b_g010_p07,labeled
stage5_boundary_g011,stage5_boundary,g011,1124.82,1.31472,5.65178,24.9558,0.90309,0.787139,29.7758,0.727425,2,s5b_g011_p06,labeled
stage5_boundary_g012,stage5_boundary,g012,1164.52,1.15143,5.41596,25.9085,1.04499,0.834317,27.2148,0.716242,2.6,s5b_g012_p08,labeled
stage5_boundary_g013,stage5_boundary,g013,1055.29,1.17066,5.0542,23.287,0.895032,0.732461,28.2789,0.910622,2.3,s5b_g013_p07,labeled
stage5_boundary_g014,stage5_boundary,g014,1068.8,0.909497,5.31903,23.6111,0.958642,0.729598,25.7522,0.998914,>2.6,s5b_g014_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g015,stage5_boundary,g015,1162.29,1.29271,5.20484,25.8549,1.289,0.606389,26.0094,1.05339,>2.6,s5b_g015_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g016,stage5_boundary,g016,1132.16,0.867546,4.63799,25.1319,1.24849,0.651788,30.0877,0.875963,>2.6,s5b_g016_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g017,stage5_boundary,g017,1136.66,1.23254,4.40774,25.2399,0.811571,0.68074,30.4811,0.662672,2.3,s5b_g017_p07,labeled
stage5_boundary_g018,stage5_boundary,g018,1098.87,1.09946,5.22396,24.3328,0.937419,0.618753,27.9447,0.653781,>2.6,s5b_g018_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g019,stage5_boundary,g019,1095.51,0.938325,4.738,24.2522,0.657112,0.890579,30.9706,0.531565,2.3,s5b_g019_p07,labeled
stage5_boundary_g020,stage5_boundary,g020,1110.81,0.953899,5.77696,24.6195,1.25535,0.77568,27.0489,0.633004,>2.6,s5b_g020_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g021,stage5_boundary,g021,1156.59,0.801038,4.23033,25.7181,1.33342,0.816388,29.8631,0.765211,>2.6,s5b_g021_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g022,stage5_boundary,g022,1150.99,1.30412,4.36947,25.5837,0.642006,0.796191,25.4192,0.882172,>2.6,s5b_g022_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g023,stage5_boundary,g023,1048.95,0.876477,4.85753,23.1349,0.977313,0.861844,26.6191,0.784082,>2.6,s5b_g023_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g024,stage5_boundary,g024,1105.2,1.24339,5.02839,24.4849,1.18402,0.881889,26.2506,0.952424,2.6,s5b_g024_p08,labeled
stage5_boundary_g025,stage5_boundary,g025,1076.02,1.0366,5.56788,23.7845,1.31505,0.751457,28.9101,1.0719,2.3,s5b_g025_p07,labeled
stage5_boundary_g026,stage5_boundary,g026,1119.18,1.1856,4.55396,24.8203,1.05321,0.691086,27.6164,0.501224,>2.6,s5b_g026_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g027,stage5_boundary,g027,1197.86,1.08372,4.28752,26.7086,0.872681,0.626664,28.7432,0.683906,>2.6,s5b_g027_p08,exceedance_gt_2.6MPa_uncontrolled
stage5_boundary_g028,stage5_boundary,g028,1058.08,1.11898,4.48058,23.354,0.611983,0.64642,26.8792,1.03246,2.6,s5b_g028_p08,labeled
stage5_boundary_g029,stage5_boundary,g029,1175.21,1.14055,5.87109,26.1651,0.787009,0.842975,29.155,0.589117,2.6,s5b_g029_p08,labeled
stage5_boundary_g030,stage5_boundary,g030,1129.05,1.27359,5.89336,25.0572,1.11791,0.669487,30.354,0.563374,2.3,s5b_g030_p07,labeled
